Report Date,Stock price,Y_boolean,(Dividends + Share Buyback) / FCF,Asset Turnover,CapEx / (Depr + Amor),Current Ratio,Debt Ratio,Dividends / FCF,Dummy_Dividends,Gross Profit Margin,Interest Coverage,Inventory Turnover,Log Revenue,Net Profit Margin,Quick Ratio,R&D / Gross Profit,R&D / Revenue,Return on Assets,Return on Equity,Return on Research Capital,Share Buyback / FCF,tweet_polarity,tweet_subjectivity,RSI_ratio,MACD,p_diff
2021/12/7,224.9442596,1,0.774456522,0.138460445,1.008928571,3.370636059,0.511479139,0.323369565,1,0.708418891,12.70175439,1.081021088,9.289588953,0.262833676,2.308943089,0.086956522,0.061601643,0.036392068,0.117647059,11.5,0.451086957,0.072135548,0.351378088,1.079004487,-1.754098539,0.257576564
2021/12/8,228.8511353,1,0.774456522,0.138460445,1.008928571,3.370636059,0.511479139,0.323369565,1,0.708418891,12.70175439,1.081021088,9.289588953,0.262833676,2.308943089,0.086956522,0.061601643,0.036392068,0.117647059,11.5,0.451086957,0.071365454,0.347605172,1.494035806,-2.776791749,-0.010675657
2021/12/9,229.389328,0,0.774456522,0.138460445,1.008928571,3.370636059,0.511479139,0.323369565,1,0.708418891,12.70175439,1.081021088,9.289588953,0.262833676,2.308943089,0.086956522,0.061601643,0.036392068,0.117647059,11.5,0.451086957,0.052502624,0.362317938,1.504238366,-3.370164912,-0.264313176
2021/12/10,230.6750183,1,0.774456522,0.138460445,1.008928571,3.370636059,0.511479139,0.323369565,1,0.708418891,12.70175439,1.081021088,9.289588953,0.262833676,2.308943089,0.086956522,0.061601643,0.036392068,0.117647059,11.5,0.451086957,0.057891668,0.343628596,1.590275786,-3.84462432,0.102643313
2021/12/11,230.9773356,0,0.774456522,0.138460445,1.008928571,3.370636059,0.511479139,0.323369565,1,0.708418891,12.70175439,1.081021088,9.289588953,0.262833676,2.308943089,0.086956522,0.061601643,0.036392068,0.117647059,11.5,0.451086957,0.06195431,0.360782225,0.345305746,-1.318035796,0.070176635
2021/12/12,231.2796529,0,0.774456522,0.138460445,1.008928571,3.370636059,0.511479139,0.323369565,1,0.708418891,12.70175439,1.081021088,9.289588953,0.262833676,2.308943089,0.086956522,0.061601643,0.036392068,0.117647059,11.5,0.451086957,0.071031767,0.350594191,0.47959178,-1.296826284,0.146518572
2021/12/13,231.5819702,0,0.774456522,0.138460445,1.008928571,3.370636059,0.511479139,0.323369565,1,0.708418891,12.70175439,1.081021088,9.289588953,0.262833676,2.308943089,0.086956522,0.061601643,0.036392068,0.117647059,11.5,0.451086957,0.046343351,0.35259771,1.657026591,-4.150783725,-0.347568652
2021/12/14,227.3063354,-1,0.774456522,0.138460445,1.008928571,3.370636059,0.511479139,0.323369565,1,0.708418891,12.70175439,1.081021088,9.289588953,0.262833676,2.308943089,0.086956522,0.061601643,0.036392068,0.117647059,11.5,0.451086957,0.070125353,0.360767485,1.085226699,-3.262678788,0.51316966
2021/12/15,231.3029022,1,0.774456522,0.138460445,1.008928571,3.370636059,0.511479139,0.323369565,1,0.708418891,12.70175439,1.081021088,9.289588953,0.262833676,2.308943089,0.086956522,0.061601643,0.036392068,0.117647059,11.5,0.451086957,0.05897752,0.353286046,0.981131864,-3.444088147,-0.158970087
2021/12/16,232.0304565,1,0.774456522,0.138460445,1.008928571,3.370636059,0.511479139,0.323369565,1,0.708418891,12.70175439,1.081021088,9.289588953,0.262833676,2.308943089,0.086956522,0.061601643,0.036392068,0.117647059,11.5,0.451086957,0.063899778,0.34309779,0.965552634,-3.558489044,0.083459904
