,Report Date,Stock price,Y_boolean,(Dividends + Share Buyback) / FCF,Asset Turnover,Current Ratio,Debt Ratio,Gross Profit Margin,Inventory Turnover,MACD,Net Profit Margin,Quick Ratio,R&D / Gross Profit,R&D / Revenue,RSI_ratio,Return on Assets,Return on Equity,Share Buyback / FCF
44,2021-02-14,655.9849853999999,-1,0.0,0.4795472925522084,0.0,1.0,0.5183281854683734,0.0,0.17267822541270156,1.0,0.0,0.4617113995940065,0.4737885350462223,0.4872619648352452,1.0000000000000002,1.0,0.0
45,2021-02-15,652.8024902000001,-1,0.0,0.4795472925522084,0.0,1.0,0.5183281854683734,0.0,0.17813996727134968,1.0,0.0,0.4617113995940065,0.4737885350462223,0.4565914598445872,1.0000000000000002,1.0,0.0
46,2021-02-16,649.6199951,-1,0.0,0.4795472925522084,0.0,1.0,0.5183281854683734,0.0,0.18360170912999785,1.0,0.0,0.4617113995940065,0.4737885350462223,0.4259209552633894,1.0000000000000002,1.0,0.0
47,2021-02-17,655.7199707000001,1,0.0,0.4795472925522084,0.0,1.0,0.5183281854683734,0.0,0.19031011738500456,1.0,0.0,0.4617113995940065,0.4737885350462223,0.376075991604599,1.0000000000000002,1.0,0.0
48,2021-02-18,651.5,-1,0.0,0.4795472925522084,0.0,1.0,0.5183281854683734,0.0,0.2282737490007928,1.0,0.0,0.4617113995940065,0.4737885350462223,0.3367094699209248,1.0000000000000002,1.0,0.0
49,2021-02-19,637.0100097999999,-1,0.0,0.4795472925522084,0.0,1.0,0.5183281854683734,0.0,0.3230580580830149,1.0,0.0,0.4617113995940065,0.4737885350462223,0.2462718500278094,1.0000000000000002,1.0,0.0
50,2021-02-20,625.8533325,-1,0.0,0.4795472925522084,0.0,1.0,0.5183281854683734,0.0,0.3891311007252671,1.0,0.0,0.4617113995940065,0.4737885350462223,0.18429006051770627,1.0000000000000002,1.0,0.0
51,2021-02-21,614.6966553,-1,0.0,0.4795472925522084,0.0,1.0,0.5183281854683734,0.0,0.4552041434989429,1.0,0.0,0.4617113995940065,0.4737885350462223,0.12230827100760315,1.0000000000000002,1.0,0.0
52,2021-02-22,603.539978,-1,0.0,0.4795472925522084,0.0,1.0,0.5183281854683734,0.0,0.5212771862350689,1.0,0.0,0.4617113995940065,0.4737885350462223,0.060326481497500015,1.0000000000000002,1.0,0.0
53,2021-02-23,594.4799805,-1,0.0,0.4795472925522084,0.0,1.0,0.5183281854683734,0.0,0.6760964509567853,1.0,0.0,0.4617113995940065,0.4737885350462223,0.07298217138806774,1.0000000000000002,1.0,0.0
54,2021-02-24,594.7399902000001,0,0.0,0.4795472925522084,0.0,1.0,0.5183281854683734,0.0,0.7626939334879245,1.0,0.0,0.4617113995940065,0.4737885350462223,0.0035024013613477447,1.0000000000000002,1.0,0.0
55,2021-02-25,582.4500122000001,-1,0.0,0.4795472925522084,0.0,1.0,0.5183281854683734,0.0,0.8549753260785095,1.0,0.0,0.4617113995940065,0.4737885350462223,0.0032273289929966287,1.0000000000000002,1.0,0.0
56,2021-02-26,584.5,1,0.0,0.4795472925522084,0.0,1.0,0.5183281854683734,0.0,0.8906377545438791,1.0,0.0,0.4617113995940065,0.4737885350462223,0.03794318955447271,1.0000000000000002,1.0,0.0
57,2021-02-27,588.7666626,1,0.0,0.4795472925522084,0.0,1.0,0.5183281854683734,0.0,0.8770047815550603,1.0,0.0,0.4617113995940065,0.4737885350462223,0.15357082364398428,1.0000000000000002,1.0,0.0
58,2021-02-28,593.0333252,1,0.0,0.4795472925522084,0.0,1.0,0.5183281854683734,0.0,0.8633718085662418,1.0,0.0,0.4617113995940065,0.4737885350462223,0.2691984577334958,1.0000000000000002,1.0,0.0
59,2021-03-01,597.2999877999999,1,0.0,0.4795472925522084,0.0,1.0,0.5183281854683734,0.0,0.8497388357651711,1.0,0.0,0.4617113995940065,0.4737885350462223,0.38482609182300737,1.0000000000000002,1.0,0.0
60,2021-03-02,591.2199707000001,-1,0.0,0.4795472925522084,0.0,1.0,0.5183281854683734,0.0,0.8397307382083414,1.0,0.0,0.4617113995940065,0.4737885350462223,0.4860900837358904,1.0000000000000002,1.0,0.0
61,2021-03-03,566.8699951,-1,0.0,0.4795472925522084,0.0,1.0,0.5183281854683734,0.0,0.919620633468038,1.0,0.0,0.4617113995940065,0.4737885350462223,0.3535696925516533,1.0000000000000002,1.0,0.0
62,2021-03-04,562.0,-1,0.0,0.4795472925522084,0.0,1.0,0.5183281854683734,0.0,0.9724280408849206,1.0,0.0,0.4617113995940065,0.4737885350462223,0.4066571200737818,1.0000000000000002,1.0,0.0
63,2021-03-05,567.9199829,1,0.0,0.4795472925522084,0.0,1.0,0.5183281854683734,0.0,0.9650329677817836,1.0,0.0,0.4617113995940065,0.4737885350462223,0.5195722699500956,1.0000000000000002,1.0,0.0
64,2021-03-06,563.3166504,-1,0.0,0.4795472925522084,0.0,1.0,0.5183281854683734,0.0,0.9766886451878556,1.0,0.0,0.4617113995940065,0.4737885350462223,0.4343274083888484,1.0000000000000002,1.0,0.0
