,Report Date,Stock price,Y_boolean,(Dividends + Share Buyback) / FCF,Asset Turnover,CapEx / (Depr + Amor),Current Ratio,Debt Ratio,Dividends / FCF,Dummy_Dividends,Gross Profit Margin,Interest Coverage,Inventory Turnover,Log Revenue,Net Profit Margin,Quick Ratio,R&D / Gross Profit,R&D / Revenue,Return on Assets,Return on Equity,Return on Research Capital,Share Buyback / FCF,tweet_polarity,tweet_subjectivity,RSI_ratio,MACD,p_diff,s_diff
646,2021/12/8,228.8511353,1,0.701212906,0.748001261,0.399747478,0.387578706,0,0.775390032,0,0.994244129,0.876417623,0.494130838,0.918036714,0.640984641,0.476375312,0,0,0.70812579,0.424325337,1,0.602652175,0.651387082,0.503637477,0.471773124,0.195209162,0.191810674,0.444056715
647,2021/12/9,229.389328,0,0.701212906,0.748001261,0.399747478,0.387578706,0,0.775390032,0,0.994244129,0.876417623,0.494130838,0.918036714,0.640984641,0.476375312,0,0,0.70812579,0.424325337,1,0.602652175,0.540797313,0.590772452,0.474994796,0.165427781,0.178930698,0.543770539
648,2021/12/10,230.6750183,1,0.701212906,0.748001261,0.399747478,0.387578706,0,0.775390032,0,0.994244129,0.876417623,0.494130838,0.918036714,0.640984641,0.476375312,0,0,0.70812579,0.424325337,1,0.602652175,0.57239242,0.480086579,0.502162915,0.141614678,0.197565129,0.367302846
649,2021/12/11,230.9773356,0,0.701212906,0.748001261,0.399747478,0.387578706,0,0.775390032,0,0.994244129,0.876417623,0.494130838,0.918036714,0.640984641,0.476375312,0,0,0.70812579,0.424325337,1,0.602652175,0.596211043,0.581677336,0.109037528,0.26842408,0.195916437,0.558038864
650,2021/12/12,231.2796529,0,0.701212906,0.748001261,0.399747478,0.387578706,0,0.775390032,0,0.994244129,0.876417623,0.494130838,0.918036714,0.640984641,0.476375312,0,0,0.70812579,0.424325337,1,0.602652175,0.649430728,0.521339661,0.151441158,0.269488585,0.19979316,0.411169425
651,2021/12/13,231.5819702,0,0.701212906,0.748001261,0.399747478,0.387578706,0,0.775390032,0,0.994244129,0.876417623,0.494130838,0.918036714,0.640984641,0.476375312,0,0,0.70812579,0.424325337,1,0.602652175,0.504686476,0.533205314,0.523240881,0.126248546,0.174702898,0.474972538
652,2021/12/14,227.3063354,-1,0.701212906,0.748001261,0.399747478,0.387578706,0,0.775390032,0,0.994244129,0.876417623,0.494130838,0.918036714,0.640984641,0.476375312,0,0,0.70812579,0.424325337,1,0.602652175,0.644116567,0.58159004,0.342683079,0.170822506,0.218412082,0.507774049
653,2021/12/15,231.3029022,1,0.701212906,0.748001261,0.399747478,0.387578706,0,0.775390032,0,0.994244129,0.876417623,0.494130838,0.918036714,0.640984641,0.476375312,0,0,0.70812579,0.424325337,1,0.602652175,0.578758597,0.53728192,0.309812953,0.161717576,0.184280129,0.425265169
654,2021/12/16,232.0304565,1,0.701212906,0.748001261,0.399747478,0.387578706,0,0.775390032,0,0.994244129,0.876417623,0.494130838,0.918036714,0.640984641,0.476375312,0,0,0.70812579,0.424325337,1,0.602652175,0.607617012,0.47694293,0.304893484,0.155975799,0.196590975,0.410042298
655,2021/12/17,233.5254364,1,0.701212906,0.748001261,0.399747478,0.387578706,0,0.775390032,0,0.994244129,0.876417623,0.494130838,0.918036714,0.640984641,0.476375312,0,0,0.70812579,0.424325337,1,0.602652175,0.454796311,0.494793293,0.268985795,0.144383748,0.171638206,0.480741764
656,2021/12/18,233.5088196,0,0.701212906,0.748001261,0.399747478,0.387578706,0,0.775390032,0,0.994244129,0.876417623,0.494130838,0.918036714,0.640984641,0.476375312,0,0,0.70812579,0.424325337,1,0.602652175,0.437079785,0.451269288,0.30785974,0.136492634,0.188296849,0.424333914
657,2021/12/19,233.4922027,0,0.701212906,0.748001261,0.399747478,0.387578706,0,0.775390032,0,0.994244129,0.876417623,0.494130838,0.918036714,0.640984641,0.476375312,0,0,0.70812579,0.424325337,1,0.602652175,0.564653464,0.544841758,0.275745675,0.13137059,0.224094191,0.551876112
658,2021/12/20,233.4755859,0,0.701212906,0.748001261,0.399747478,0.387578706,0,0.775390032,0,0.994244129,0.876417623,0.494130838,0.918036714,0.640984641,0.476375312,0,0,0.70812579,0.424325337,1,0.602652175,0.70500055,0.555799264,0.269130065,0.146069251,0.213840889,0.474039661
659,2021/12/21,236.8442841,1,0.701212906,0.748001261,0.399747478,0.387578706,0,0.775390032,0,0.994244129,0.876417623,0.494130838,0.918036714,0.640984641,0.476375312,0,0,0.70812579,0.424325337,1,0.602652175,0.686132445,0.655822283,0.412202256,0.119564765,0.190322909,0.553278526
660,2021/12/22,240.7611237,1,0.701212906,0.748001261,0.399747478,0.387578706,0,0.775390032,0,0.994244129,0.876417623,0.494130838,0.918036714,0.640984641,0.476375312,0,0,0.70812579,0.424325337,1,0.602652175,0.681229955,0.642949756,0.369606816,0.071969505,0.19180341,0.453292744
661,2021/12/23,241.6979828,1,0.701212906,0.748001261,0.399747478,0.387578706,0,0.775390032,0,0.994244129,0.876417623,0.494130838,0.918036714,0.640984641,0.476375312,0,0,0.70812579,0.424325337,1,0.602652175,0.629277137,0.586173745,0.375631508,0.045318817,0.186467162,0.415693712
662,2021/12/24,242.6946297,1,0.701212906,0.748001261,0.399747478,0.387578706,0,0.775390032,0,0.994244129,0.876417623,0.494130838,0.918036714,0.640984641,0.476375312,0,0,0.70812579,0.424325337,1,0.602652175,0.571178015,0.53611607,0.442410206,0.0951322,0.184907991,0.420302711
